Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Paul Millsap,PF,35,DEN,26,621,17,0.63,0.413,0.312,7.4,17,12.2,9.6,1.7,2.2,10.8,16.9,1.3,0.6,2,0.152,1.6,-0.7,0.9,0.5
Shake Milton,SG,24,PHI,22,536,15.3,0.562,0.301,0.335,2.5,5.9,4.3,18.6,1.4,0.7,11,24.3,0.7,0.4,1.2,0.103,-0.7,-1.3,-2,0
Donovan Mitchell,SG,24,UTAH,27,908,18.9,0.559,0.445,0.261,3.2,10.3,6.9,25.3,1.3,0.9,12,31.4,1.6,1.1,2.7,0.145,2.7,-1,1.7,0.8
Adam Mokoka,SG,22,CHI,7,42,5.4,0.393,0.571,0,2.7,7.8,5.3,12.6,2.2,2.1,12.5,16.2,-0.1,0,0,-0.031,-5.8,-0.8,-6.6,0
Malik Monk,SG,22,CHA,15,316,13,0.613,0.55,0.167,1.7,10.3,5.9,12.6,0.6,0.6,11.7,19.6,0.4,0.1,0.5,0.08,0.6,-2,-1.4,0
E'Twaun Moore,SG,31,PHX,14,227,8.7,0.49,0.26,0.11,2.5,7.2,4.9,13.6,2.4,0.4,14.5,17.7,-0.2,0.3,0.1,0.023,-5,0.7,-4.3,-0.1
Ja Morant,PG,21,MEM,16,484,18.7,0.544,0.218,0.361,2.7,8.7,5.6,41.6,1.4,0.8,15.6,28.7,0.6,0.3,0.9,0.09,1.9,-2.9,-1,0.1
Juwan Morgan,PF,23,UTAH,12,64,7.5,0.524,0.692,0.231,5.2,15.8,10.8,6.2,2.3,0,12.3,10.9,0,0.1,0.1,0.092,-4.1,1.7,-2.4,0
Marcus Morris,PF,31,LAC,21,524,15,0.609,0.502,0.185,3.5,13.3,8.6,5,1.1,1,8.4,21,0.8,0.5,1.3,0.116,1,-1.8,-0.8,0.2
Markieff Morris,PF,31,LAL,23,353,8.9,0.52,0.667,0.194,4.6,20.2,12.7,7.4,0.5,1.5,10.6,13.9,0.1,0.6,0.7,0.093,-2.2,-0.3,-2.6,0
Monte Morris,PG,25,DEN,27,701,14.9,0.583,0.38,0.205,1.1,8.1,4.6,17.8,1.3,1,6.4,16.5,1.4,0.4,1.8,0.123,1.1,-1.4,-0.3,0.3
Mychal Mulder,PG,26,GS,28,303,11.2,0.67,0.857,0.131,0.4,8.5,4.5,5.5,0.9,1.7,5.3,13.1,0.4,0.3,0.7,0.109,-0.9,-0.4,-1.4,0.1
Dejounte Murray,PG,24,SA,27,821,16.4,0.512,0.238,0.155,2.1,22.9,12.2,25,2.4,0.2,10.1,23.2,0.2,1.3,1.5,0.087,-0.7,1,0.3,0.5
Mike Muscala,C,29,OKC,26,495,14.6,0.606,0.692,0.162,3,17,10.1,7.3,0.7,1.2,7.4,20,0.6,0.5,1.1,0.105,0.8,-1.4,-0.6,0.2
Sviatoslav Mykhailiuk,SF,23,OKC,27,417,11.6,0.536,0.767,0.16,1.8,12.1,6.7,12.2,2,1.1,10.1,18.5,0.1,0.4,0.5,0.056,-0.4,-0.4,-0.9,0.1
Abdel Nader,SF,27,PHX,12,172,14.8,0.615,0.403,0.29,0,18.3,9.3,9.5,1.4,0.5,10.3,20.3,0.2,0.2,0.4,0.112,-0.2,1,0.8,0.1
Larry Nance Jr.,PF,28,CLE,19,635,13.2,0.571,0.434,0.145,4.6,18.4,11.3,13.7,2.9,1.4,15.4,12.3,0.4,0.7,1.2,0.088,-1,2,1,0.5
Aaron Nesmith,SF,21,BOS,13,191,4.4,0.489,0.809,0.149,4,13.8,8.8,4.8,0,1.9,15.2,13.2,-0.1,0.1,0,0.004,-4.6,-1.5,-6.1,-0.2
Raul Neto,PG,28,WSH,21,396,13.6,0.564,0.404,0.142,2.6,10.1,6.2,12.9,2.5,0.4,8,17,0.4,0.3,0.7,0.08,-1.1,-0.2,-1.3,0.1
Georges Niang,PF,27,UTAH,29,381,8.3,0.51,0.684,0.037,2.9,14.4,8.9,8.1,1.4,0.6,12.1,17.7,-0.1,0.5,0.5,0.059,-3.3,0.2,-3.1,-0.1
Zeke Nnaji,PF,20,DEN,15,112,12.5,0.652,0.625,0.125,5,8.1,6.6,0,0.4,0.9,0,13.1,0.2,0,0.3,0.117,1,-3.1,-2.1,0
Nerlens Noel,C,26,NY,25,475,14.3,0.57,0.026,0.282,9.4,19.7,14.7,3.6,2.4,9.9,20.8,10.3,0.1,1.2,1.3,0.131,-3.2,3.7,0.5,0.3
Jaylen Nowell,SG,21,MIN,15,236,15.3,0.565,0.414,0.241,3.5,8.7,5.9,9.7,1.2,1.4,6.6,24.5,0.3,0.1,0.4,0.076,-0.2,-1.8,-2,0
Frank Ntilikina,PG,22,NY,4,42,12.4,0.587,0.643,0.214,2.5,7.4,5,10.8,3.6,0,11.5,18.2,0,0.1,0.1,0.113,-1.7,3,1.2,0
Kendrick Nunn,PG,25,MIA,20,567,12.3,0.577,0.482,0.106,1.9,10.3,6.3,13.2,1.9,0.7,14.8,21.8,-0.1,0.6,0.4,0.037,-1.5,-0.3,-1.7,0
Jusuf Nurkic,C,26,POR,12,280,16.1,0.514,0.117,0.262,8.4,27.5,17.5,17.5,1.9,3.7,16.7,21.1,0.1,0.3,0.4,0.065,-2.6,0,-2.6,0
David Nwaba,SF,28,HOU,24,560,13.4,0.553,0.315,0.298,5.4,11.3,8.3,6.9,2.2,2.8,7.3,15.6,0.5,0.8,1.3,0.114,-2,1.1,-0.8,0.2
Jordan Nwora,SF,22,MIL,10,82,12.9,0.616,0.432,0.27,1.3,17.6,9.7,0,2.3,2.2,19.5,26.3,-0.1,0.1,0,0.023,-3.6,-1.9,-5.4,-0.1
Royce O'Neale,SF,27,UTAH,29,944,10.5,0.635,0.704,0.154,3.9,17.8,11.2,9.1,1.2,1.6,15.5,9.7,1.2,1.5,2.7,0.135,-1.1,1.7,0.6,0.6
Semi Ojeleye,PF,26,BOS,27,530,9.2,0.568,0.703,0.195,3.5,14.7,8.9,5.8,0.7,0,7.9,12.2,0.5,0.4,0.9,0.08,-0.9,-1.1,-2,0
Jahlil Okafor,C,25,DET,12,120,15.6,0.595,0.071,0.048,11.7,13.6,12.6,4.3,0.8,1.5,8.5,16.9,0.2,0.1,0.2,0.099,-0.6,-2.5,-3.1,0
Chuma Okeke,PF,22,ORL,13,282,9.4,0.462,0.5,0.103,5.7,10.7,8.1,13.1,1.9,1.3,12.9,10.5,0,0.3,0.3,0.055,-2.6,0.2,-2.4,0
Josh Okogie,SG,22,MIN,23,467,7.7,0.454,0.418,0.345,4.8,9,6.8,7.6,1.9,2.5,11.8,12.9,-0.2,0.3,0.1,0.015,-4.7,-0.3,-5,-0.4
Onyeka Okongwu,C,20,ATL,9,93,12.2,0.556,0,0.632,7,21.8,14.5,6,2.1,5.6,17.1,13.4,0,0.1,0.2,0.09,-4.3,2,-2.3,0
Isaac Okoro,SG,20,CLE,24,792,5.6,0.47,0.376,0.271,2.8,5.2,4,7.8,1.7,1.1,14.8,12.1,-0.5,0.4,-0.1,-0.007,-5.2,-0.6,-5.8,-0.7
KZ Okpala,PF,21,MIA,14,168,3.2,0.49,0.613,0.194,2.8,10.1,6.7,5,0.9,1.2,19.2,11,-0.2,0.1,0,-0.013,-6.2,-1.3,-7.6,-0.2
Victor Oladipo,SG,28,MIA,20,640,14.5,0.501,0.418,0.209,0.7,16.9,8.8,23.2,2,1.1,10.4,28.5,-0.4,0.9,0.5,0.037,-0.2,-0.5,-0.7,0.2
Kelly Olynyk,C,29,HOU,27,703,12,0.558,0.725,0.092,4.6,19.5,12.5,11.8,1.5,2.6,12.8,17.3,0.1,1,1.1,0.074,-0.8,0.4,-0.4,0.3
Miye Oni,SG,23,UTAH,23,185,6,0.505,0.839,0.194,7.2,15.9,11.7,4.1,0.8,1.7,17.2,9.4,0,0.3,0.3,0.079,-4.1,0.5,-3.6,-0.1
Cedi Osman,SF,25,CLE,29,766,11.2,0.499,0.559,0.133,2.8,11.5,7,14.8,1.6,0.4,8.3,20.4,0.2,0.4,0.6,0.035,-0.9,-1,-1.9,0
Daniel Oturu,C,21,LAC,10,42,21.6,0.63,0.067,0.133,13.8,23.4,18.7,14.5,0,6.4,11.2,18.8,0.1,0.1,0.2,0.213,0.2,0.3,0.5,0
Kelly Oubre Jr.,SF,25,GS,29,853,12.4,0.51,0.421,0.226,5.1,15.6,10.5,7.1,1.7,2.4,9,22.1,-0.3,1.2,0.9,0.051,-2.5,-0.3,-2.8,-0.2
Eric Paschall,PF,24,GS,26,459,15,0.571,0.179,0.313,5.3,14.5,10,11.3,0.5,0.6,8,23,0.5,0.4,0.9,0.099,-0.6,-1.8,-2.5,-0.1
Patrick Patterson,PF,31,LAC,10,130,8.4,0.566,0.737,0.105,3.6,13.4,8.6,5.1,1.1,0.7,15,15.9,0,0.1,0.1,0.042,-2,-1.2,-3.1,0
Chris Paul,PG,35,PHX,26,843,20.4,0.589,0.296,0.204,2,13.8,8,38.9,1.9,0.7,13.9,23.4,2.2,1.1,3.2,0.183,2.7,1.2,3.9,1.3
Cameron Payne,PG,26,PHX,16,275,13.5,0.57,0.427,0.101,0.8,11,6,30,1.6,1,17,18.3,0.3,0.3,0.6,0.111,-0.7,0.9,0.2,0.2
Elfrid Payton,PG,26,NY,30,831,11.9,0.484,0.158,0.161,4.9,9.5,7.3,20.9,1.1,0.7,13.1,23.2,-0.4,0.9,0.5,0.028,-2.3,-1.1,-3.4,-0.3
Norvel Pelle,F-C,27,NY,3,28,2.1,0.429,0,0,12.8,15.1,14,0,0,8.8,30,15.4,-0.1,0,0,-0.074,-9.8,0.1,-9.7,-0.1
Reggie Perry,PF,20,BKN,14,147,9.7,0.455,0.235,0.176,13.8,24.5,19.5,10.7,0.6,2.8,16.7,19.4,-0.1,0.1,0.1,0.017,-5.2,-1.6,-6.8,-0.2
